#./overdamped_3d --dev=1 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=g:-0.997:0.997:300:0 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=0.1 --skew=0.99 --distribution=s>> journal_5_s_0.1_g:-0.997:0.997:300:0_1.0_30.0_40.0.dat
#g <<v>> qnu(q) mu_q Dx Gx EBx
-1.728116e-01 -7.583618e-07 1.745124e-02 7.779778e+00 6.191961e-04 -1.709119e-01 1.733661e-03
-1.661649e-01 -9.532752e-07 1.711617e-02 7.765186e+00 6.180474e-04 -1.715546e-01 1.753569e-03
-1.595182e-01 -1.085916e-06 1.634572e-02 7.766331e+00 6.181659e-04 -1.790541e-01 1.712322e-03
-1.528716e-01 -8.479132e-07 1.905134e-02 7.814733e+00 6.219731e-04 -1.735036e-01 1.769543e-03
-1.462249e-01 -3.759556e-07 1.786574e-02 7.768236e+00 6.182995e-04 -1.633369e-01 1.697063e-03
-1.395783e-01 1.781330e-07 1.903774e-02 7.807899e+00 6.214220e-04 -1.677603e-01 1.736164e-03
-1.329316e-01 3.746485e-07 1.950985e-02 7.804931e+00 6.211835e-04 -1.603796e-01 1.742005e-03
-1.262849e-01 9.926121e-07 1.765433e-02 7.808604e+00 6.214938e-04 -1.723864e-01 1.751781e-03
-1.196383e-01 1.850222e-06 1.794464e-02 7.770864e+00 6.185094e-04 -1.643798e-01 1.712561e-03
-1.129916e-01 1.650713e-06 1.764858e-02 7.810633e+00 6.216945e-04 -1.789981e-01 1.731753e-03
-1.063449e-01 2.117443e-06 1.759241e-02 7.809859e+00 6.216053e-04 -1.808745e-01 1.715660e-03
-9.969828e-02 2.865138e-06 1.826392e-02 7.793118e+00 6.202866e-04 -1.650966e-01 1.724720e-03
-9.305161e-02 2.531175e-06 1.704192e-02 7.800007e+00 6.208124e-04 -1.757352e-01 1.708508e-03
-8.640495e-02 2.334449e-06 1.653883e-02 7.783829e+00 6.195746e-04 -1.750573e-01 1.725435e-03
-7.975829e-02 3.247586e-06 1.708739e-02 7.770714e+00 6.184998e-04 -1.799447e-01 1.711011e-03
-7.311162e-02 3.776504e-06 1.773648e-02 7.778161e+00 6.191020e-04 -1.711025e-01 1.728296e-03
-6.646496e-02 3.710100e-06 1.804367e-02 7.786685e+00 6.198158e-04 -1.673124e-01 1.706243e-03
-5.981829e-02 3.757068e-06 1.516359e-02 7.755078e+00 6.172367e-04 -1.775333e-01 1.723409e-03
-5.317163e-02 4.064216e-06 1.529717e-02 7.729286e+00 6.151828e-04 -1.782606e-01 1.739025e-03
-4.652496e-02 4.402900e-06 1.753584e-02 7.769053e+00 6.183600e-04 -1.696399e-01 1.708746e-03
-3.987829e-02 4.714264e-06 1.719632e-02 7.761481e+00 6.177749e-04 -1.618080e-01 1.687288e-03
-3.323163e-02 5.716362e-06 2.022391e-02 7.822134e+00 6.225815e-04 -1.627412e-01 1.737237e-03
-2.658496e-02 5.759831e-06 1.955078e-02 7.807959e+00 6.214692e-04 -1.634532e-01 1.721740e-03
-1.993829e-02 5.519552e-06 1.697431e-02 7.788700e+00 6.199191e-04 -1.712478e-01 1.735687e-03
-1.329163e-02 4.879200e-06 1.964584e-02 7.807257e+00 6.214264e-04 -1.505907e-01 1.743317e-03
-6.644960e-03 4.912044e-06 2.020143e-02 7.832984e+00 6.234525e-04 -1.638318e-01 1.735926e-03
1.706183e-06 6.492264e-06 2.052313e-02 7.799150e+00 6.207568e-04 -1.594789e-01 1.733780e-03
6.648373e-03 6.836513e-06 2.137716e-02 7.828441e+00 6.230783e-04 -1.532921e-01 1.728177e-03
1.329504e-02 7.846327e-06 2.164703e-02 7.870182e+00 6.264584e-04 -1.613452e-01 1.767755e-03
1.994171e-02 7.414339e-06 2.138168e-02 7.854350e+00 6.251401e-04 -1.657274e-01 1.734614e-03
2.658837e-02 6.874080e-06 1.885170e-02 7.809063e+00 6.214978e-04 -1.659955e-01 1.756668e-03
3.323504e-02 7.784434e-06 2.197111e-02 7.833960e+00 6.235071e-04 -1.550137e-01 1.761675e-03
3.988171e-02 7.622112e-06 2.100704e-02 7.820282e+00 6.224304e-04 -1.617781e-01 1.767516e-03
4.652837e-02 7.607482e-06 2.089401e-02 7.824358e+00 6.227382e-04 -1.585157e-01 1.764894e-03
5.317504e-02 6.818637e-06 1.894302e-02 7.812020e+00 6.217564e-04 -1.679525e-01 1.762867e-03
5.982171e-02 8.091160e-06 2.203975e-02 7.845105e+00 6.243854e-04 -1.484926e-01 1.753569e-03
6.646837e-02 8.166461e-06 2.295184e-02 7.832719e+00 6.233992e-04 -1.444377e-01 1.765966e-03
7.311504e-02 8.508224e-06 2.341719e-02 7.888782e+00 6.278994e-04 -1.581500e-01 1.765013e-03
7.976170e-02 8.157818e-06 2.251199e-02 7.823472e+00 6.226664e-04 -1.483896e-01 1.771927e-03
8.640836e-02 8.709250e-06 2.442731e-02 7.899001e+00 6.287310e-04 -1.534556e-01 1.767278e-03
9.305502e-02 9.521579e-06 2.569445e-02 7.940829e+00 6.320311e-04 -1.521740e-01 1.770377e-03
9.970169e-02 9.316926e-06 2.469254e-02 7.923373e+00 6.306585e-04 -1.531147e-01 1.790881e-03
1.063484e-01 1.005227e-05 2.820904e-02 7.970930e+00 6.344129e-04 -1.458620e-01 1.806259e-03
1.129950e-01 1.038391e-05 2.816978e-02 7.894982e+00 6.283778e-04 -1.298812e-01 1.795292e-03
1.196417e-01 1.060058e-05 2.980330e-02 7.939599e+00 6.319747e-04 -1.261301e-01 1.806140e-03
1.262883e-01 1.122078e-05 3.099686e-02 7.953833e+00 6.330842e-04 -1.241555e-01 1.778126e-03
1.329350e-01 1.153661e-05 3.096785e-02 8.009071e+00 6.374606e-04 -1.372877e-01 1.810789e-03
1.395817e-01 1.089685e-05 3.035370e-02 8.006869e+00 6.372565e-04 -1.404874e-01 1.825571e-03
1.462283e-01 1.158990e-05 3.048147e-02 7.990224e+00 6.359608e-04 -1.273720e-01 1.776099e-03
1.528750e-01 1.121399e-05 2.998723e-02 7.966856e+00 6.341310e-04 -1.278278e-01 1.819134e-03
1.595217e-01 1.229240e-05 3.306328e-02 7.999487e+00 6.366752e-04 -1.205103e-01 1.825929e-03
1.661683e-01 1.214538e-05 3.306510e-02 8.005888e+00 6.372065e-04 -1.112509e-01 1.817822e-03
1.728150e-01 1.252168e-05 3.543925e-02 8.004011e+00 6.370515e-04 -1.094550e-01 1.849651e-03
1.794616e-01 1.281887e-05 3.546207e-02 8.035342e+00 6.395547e-04 -1.148013e-01 1.820683e-03
1.861083e-01 1.290581e-05 3.582971e-02 8.020865e+00 6.384026e-04 -1.094148e-01 1.838684e-03
1.927550e-01 1.313580e-05 3.576986e-02 8.033157e+00 6.393747e-04 -1.059046e-01 1.796961e-03
1.994016e-01 1.368260e-05 3.646010e-02 8.076179e+00 6.427980e-04 -1.141953e-01 1.845956e-03
2.060483e-01 1.520177e-05 4.308395e-02 8.169222e+00 6.502263e-04 -6.682944e-02 1.897573e-03
2.126950e-01 1.836503e-05 5.145860e-02 8.303922e+00 6.609345e-04 -2.297014e-02 1.880169e-03
2.193416e-01 1.987189e-05 5.415072e-02 8.314155e+00 6.617563e-04 -2.772021e-02 1.884937e-03
2.259883e-01 1.997679e-05 5.520320e-02 8.368629e+00 6.661284e-04 -1.999247e-02 1.858473e-03
2.326349e-01 2.096902e-05 5.782984e-02 8.358348e+00 6.652714e-04 -1.226020e-02 1.891613e-03
2.392816e-01 2.204730e-05 6.034109e-02 8.424449e+00 6.705652e-04 -2.993226e-03 1.924992e-03
2.459283e-01 2.351550e-05 6.620292e-02 8.532373e+00 6.791138e-04 4.917800e-02 1.911759e-03
2.525750e-01 2.367727e-05 6.508844e-02 8.512951e+00 6.775490e-04 3.835535e-02 1.926303e-03
2.592216e-01 2.462768e-05 6.915625e-02 8.579350e+00 6.828532e-04 6.675899e-02 1.951218e-03
2.658683e-01 2.464573e-05 6.740746e-02 8.545477e+00 6.801721e-04 6.073523e-02 1.922965e-03
2.725149e-01 2.561717e-05 7.027779e-02 8.604555e+00 6.848793e-04 4.622650e-02 1.935959e-03
2.791616e-01 2.514450e-05 7.169501e-02 8.599066e+00 6.844177e-04 7.739902e-02 1.924753e-03
2.858083e-01 2.778213e-05 7.606684e-02 8.662815e+00 6.895378e-04 7.280529e-02 1.965523e-03
2.924549e-01 2.779967e-05 7.507664e-02 8.696677e+00 6.922386e-04 5.148816e-02 1.958728e-03
2.991016e-01 2.849593e-05 7.747196e-02 8.755576e+00 6.969092e-04 7.640398e-02 1.985192e-03
3.057483e-01 3.042356e-05 7.977863e-02 8.767074e+00 6.978096e-04 6.748796e-02 1.975060e-03
3.123949e-01 3.201841e-05 8.286861e-02 8.841015e+00 7.036999e-04 7.767653e-02 2.006531e-03
3.190416e-01 3.285152e-05 8.611774e-02 8.887496e+00 7.073961e-04 8.784902e-02 2.004147e-03
3.256882e-01 3.190272e-05 8.479582e-02 8.865865e+00 7.056941e-04 8.582568e-02 1.984835e-03
3.323349e-01 3.458568e-05 9.230048e-02 8.946217e+00 7.120730e-04 1.238745e-01 2.028823e-03
3.389816e-01 3.527928e-05 9.268050e-02 8.935490e+00 7.112045e-04 9.780049e-02 2.015114e-03
3.456282e-01 3.492297e-05 8.983546e-02 8.915065e+00 7.096169e-04 9.361529e-02 2.016306e-03
3.522749e-01 3.583741e-05 9.221382e-02 8.958605e+00 7.130421e-04 7.644618e-02 2.010345e-03
3.589216e-01 3.589813e-05 9.456311e-02 8.994013e+00 7.158834e-04 9.997058e-02 2.028465e-03
3.655682e-01 3.591153e-05 9.202906e-02 8.930799e+00 7.108198e-04 9.665644e-02 2.040744e-03
3.722149e-01 3.859622e-05 9.869786e-02 9.091817e+00 7.236979e-04 9.111512e-02 2.039313e-03
3.788615e-01 3.829839e-05 1.008438e-01 9.058020e+00 7.209369e-04 1.076030e-01 2.068400e-03
3.855082e-01 4.140600e-05 1.041640e-01 9.192906e+00 7.317129e-04 1.069103e-01 2.084613e-03
