#./munderdamped_3d_gle_ratchet --dev=2 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.001 --tau=0.1 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=400 --spp=400 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=t:0.0:0.1:100:0 --domainy=a:17.0:17.0:1:0 --domainz=w:11.0:11.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.0-D0.001-m0.525-a17.0-w11.0-t_0.0_0.1-ratchet.dat
#t a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
8.800000e-02 1.700000e+01 1.100000e+01 -1.750132e+00 1.000824e+01 1.579901e-04 2.861981e+03 1.337888e+00 1.760759e+00 -5.484223e-04
8.900000e-02 1.700000e+01 1.100000e+01 -1.750132e+00 1.002461e+01 1.333516e-04 2.894239e+03 1.360297e+00 2.027174e+00 -5.459189e-04
9.000000e-02 1.700000e+01 1.100000e+01 -1.750132e+00 1.003112e+01 9.524918e-05 2.883710e+03 1.349093e+00 2.074080e+00 -5.455613e-04
9.100001e-02 1.700000e+01 1.100000e+01 -1.750132e+00 1.003465e+01 1.926473e-04 2.919185e+03 1.398813e+00 2.128803e+00 -5.466342e-04
9.200001e-02 1.700000e+01 1.100000e+01 -1.750132e+00 1.003627e+01 1.133203e-04 2.828362e+03 1.338939e+00 1.902059e+00 -5.454421e-04
9.300001e-02 1.700000e+01 1.100000e+01 -1.750132e+00 1.003990e+01 1.107424e-04 2.872196e+03 1.354695e+00 2.141347e+00 -5.469918e-04
9.400001e-02 1.700000e+01 1.100000e+01 -1.750132e+00 1.004460e+01 9.162779e-05 2.925902e+03 1.378505e+00 1.922602e+00 -5.454421e-04
9.500001e-02 1.700000e+01 1.100000e+01 -1.750132e+00 1.005332e+01 1.276575e-04 2.915434e+03 1.320381e+00 1.869028e+00 -5.424023e-04
9.600002e-02 1.700000e+01 1.100000e+01 -1.750132e+00 1.006403e+01 1.326382e-04 2.926242e+03 1.309527e+00 1.890658e+00 -5.473495e-04
9.700002e-02 1.700000e+01 1.100000e+01 -1.750132e+00 1.006849e+01 1.931129e-04 2.931971e+03 1.392510e+00 2.122498e+00 -5.452633e-04
9.800002e-02 1.700000e+01 1.100000e+01 -1.750132e+00 1.007180e+01 1.549498e-04 3.015529e+03 1.361698e+00 2.220686e+00 -5.438328e-04
9.900002e-02 1.700000e+01 1.100000e+01 -1.750132e+00 1.007423e+01 1.470294e-04 3.014149e+03 1.376404e+00 1.932729e+00 -5.452037e-04

