#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=p:-3:2:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0 --comp=0 --mean=1.0 --second=1 --skew=0.99 --distribution=s>> journal_3_s_1_p:-3:2:300:1_1.0_0.99_40.0.dat
#p <<v>> qnu(q) mu_q Dx Gx EBx
1.211522e+00 2.795915e-01 9.863141e-01 1.078974e+04 8.565918e-01 7.651925e-03 4.287839e-03
1.258919e+00 2.869746e-01 9.872030e-01 1.101042e+04 8.438395e-01 9.734035e-03 4.191041e-03
1.308171e+00 2.951099e-01 9.941742e-01 1.136398e+04 8.362995e-01 -1.439506e-02 4.098177e-03
1.359350e+00 3.038049e-01 9.932411e-01 1.163789e+04 8.343499e-01 -1.362205e-03 4.005194e-03
1.412530e+00 3.136750e-01 9.950114e-01 1.198240e+04 8.891190e-01 -8.209169e-03 3.904104e-03
1.467792e+00 3.242057e-01 9.955210e-01 1.244792e+04 9.682190e-01 -2.116489e-02 3.813386e-03
1.525215e+00 3.357250e-01 1.006741e+00 1.302555e+04 9.951162e-01 -2.208376e-02 3.735542e-03
1.584885e+00 3.483776e-01 1.006772e+00 1.352659e+04 9.476880e-01 -2.313346e-02 3.657818e-03
1.646890e+00 3.621876e-01 1.004391e+00 1.408230e+04 9.811902e-01 -2.322048e-02 3.564358e-03
1.711320e+00 3.769773e-01 1.003595e+00 1.474282e+04 1.084641e+00 3.342509e-03 3.494263e-03
1.778270e+00 3.930297e-01 1.013859e+00 1.557766e+04 1.137441e+00 9.208679e-03 3.396392e-03
1.847840e+00 4.107611e-01 1.008493e+00 1.628592e+04 1.135929e+00 -9.877324e-03 3.324509e-03
1.920132e+00 4.299288e-01 1.017226e+00 1.733465e+04 1.304394e+00 -8.990943e-03 3.222942e-03
1.995252e+00 4.506748e-01 1.015483e+00 1.800598e+04 1.485234e+00 -2.566230e-02 3.076434e-03
2.073311e+00 4.729800e-01 1.016139e+00 1.900145e+04 1.533856e+00 -1.374704e-02 3.000617e-03
2.154424e+00 4.969299e-01 1.013209e+00 1.985859e+04 1.519850e+00 -1.042855e-02 2.830744e-03
2.238710e+00 5.233449e-01 1.008423e+00 2.092722e+04 1.740439e+00 8.735418e-03 2.790093e-03
2.326294e+00 5.516044e-01 1.002755e+00 2.175886e+04 1.834181e+00 -5.468845e-03 2.619624e-03
2.417304e+00 5.821332e-01 1.001445e+00 2.277818e+04 1.815560e+00 -2.415860e-02 2.519131e-03
2.511874e+00 6.149087e-01 9.974810e-01 2.405009e+04 1.818823e+00 -2.164060e-02 2.406716e-03
2.610145e+00 6.502151e-01 1.004219e+00 2.561029e+04 1.874925e+00 -1.699251e-02 2.357602e-03
2.712260e+00 6.878678e-01 1.007239e+00 2.704389e+04 2.164825e+00 -4.032433e-03 2.260685e-03
2.818370e+00 7.282426e-01 1.012371e+00 2.915269e+04 2.312203e+00 -1.065201e-02 2.213836e-03
2.928631e+00 7.713349e-01 1.001034e+00 3.014643e+04 2.393690e+00 -6.892145e-03 2.059937e-03
3.043206e+00 8.171967e-01 1.003157e+00 3.202619e+04 2.702769e+00 -1.828158e-02 1.995921e-03
3.162263e+00 8.657588e-01 9.938954e-01 3.357940e+04 2.871951e+00 8.771658e-03 1.947761e-03
3.285978e+00 9.174219e-01 1.000073e+00 3.554663e+04 2.787121e+00 -6.911874e-03 1.848698e-03
3.414533e+00 9.714146e-01 9.977049e-01 3.769301e+04 3.055456e+00 -9.847641e-03 1.752853e-03
3.548117e+00 1.028185e+00 1.003587e+00 3.949216e+04 3.003254e+00 3.266335e-05 1.681805e-03
3.686928e+00 1.087172e+00 1.009024e+00 4.236220e+04 3.365172e+00 -2.149725e-02 1.605511e-03
3.831169e+00 1.147585e+00 1.008337e+00 4.475195e+04 4.080733e+00 -9.105563e-03 1.587749e-03
